 id gender dataset split
1 id10001 m vox1 dev
2 id10002 m vox1 dev
3 id10003 m vox1 dev
4 id10004 m vox1 dev
5 id10005 m vox1 dev
6 id10006 f vox1 dev
7 id10007 f vox1 dev
8 id10008 f vox1 dev
9 id10009 m vox1 dev
10 id10010 m vox1 dev
11 id10011 m vox1 dev
12 id10012 m vox1 dev
13 id10013 f vox1 dev
14 id10014 f vox1 dev
15 id10015 f vox1 dev
16 id10016 m vox1 dev
17 id10017 m vox1 dev
18 id10018 m vox1 dev
19 id10019 m vox1 dev
20 id10020 m vox1 dev
21 id10021 m vox1 dev
22 id10022 m vox1 dev
23 id10023 m vox1 dev
24 id10024 f vox1 dev
25 id10025 m vox1 dev
26 id10026 f vox1 dev
27 id10027 f vox1 dev
28 id10028 m vox1 dev
29 id10029 m vox1 dev
30 id10030 f vox1 dev
31 id10031 m vox1 dev
32 id10032 f vox1 dev
33 id10033 f vox1 dev
34 id10034 f vox1 dev
35 id10035 f vox1 dev
36 id10036 f vox1 dev
37 id10037 f vox1 dev
38 id10038 f vox1 dev
39 id10039 f vox1 dev
40 id10040 f vox1 dev
41 id10041 f vox1 dev
42 id10042 m vox1 dev
43 id10043 f vox1 dev
44 id10044 f vox1 dev
45 id10045 m vox1 dev
46 id10046 f vox1 dev
47 id10047 f vox1 dev
48 id10048 f vox1 dev
49 id10049 m vox1 dev
50 id10050 f vox1 dev
51 id10051 m vox1 dev
52 id10052 m vox1 dev
53 id10053 m vox1 dev
54 id10054 m vox1 dev
55 id10055 m vox1 dev
56 id10056 m vox1 dev
57 id10057 m vox1 dev
58 id10058 m vox1 dev
59 id10059 m vox1 dev
60 id10060 f vox1 dev
61 id10061 f vox1 dev
62 id10062 m vox1 dev
63 id10063 m vox1 dev
64 id10064 m vox1 dev
65 id10065 m vox1 dev
66 id10066 m vox1 dev
67 id10067 m vox1 dev
68 id10068 f vox1 dev
69 id10069 m vox1 dev
70 id10070 m vox1 dev
71 id10071 m vox1 dev
72 id10072 f vox1 dev
73 id10073 f vox1 dev
74 id10074 f vox1 dev
75 id10075 f vox1 dev
76 id10076 m vox1 dev
77 id10077 m vox1 dev
78 id10078 f vox1 dev
79 id10079 f vox1 dev
80 id10080 m vox1 dev
81 id10081 f vox1 dev
